dashboard_category,indicator,metric,geography,period,dimension_values,value_raw,value_readable,value_unit,rank_descending_within_source,source_country_count,source_chapter,source_figure,source_csv,source_chart_pdf,relevance_note,original_fields_json
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2019,"{""country_code"": ""KR"", ""education_label"": ""Other"", ""year"": ""2019""}",0.3578,35.78%,percent,8,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Other"", ""pct_share"": ""0.3578"", ""year"": ""2019""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2020,"{""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""year"": ""2020""}",0.0792,7.92%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""pct_share"": ""0.0792"", ""year"": ""2020""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2020,"{""country_code"": ""KR"", ""education_label"": ""Diploma"", ""year"": ""2020""}",0.0002,0.02%,percent,21,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Diploma"", ""pct_share"": ""0.0002"", ""year"": ""2020""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2020,"{""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""year"": ""2020""}",0.3322,33.22%,percent,8,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""pct_share"": ""0.3322"", ""year"": ""2020""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2020,"{""country_code"": ""KR"", ""education_label"": ""High School"", ""year"": ""2020""}",0.0005,0.05%,percent,19,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""High School"", ""pct_share"": ""0.0005"", ""year"": ""2020""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2020,"{""country_code"": ""KR"", ""education_label"": ""Masters"", ""year"": ""2020""}",0.2538,25.38%,percent,17,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Masters"", ""pct_share"": ""0.2538"", ""year"": ""2020""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2020,"{""country_code"": ""KR"", ""education_label"": ""Other"", ""year"": ""2020""}",0.334,33.4%,percent,6,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Other"", ""pct_share"": ""0.334"", ""year"": ""2020""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2021,"{""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""year"": ""2021""}",0.0823,8.23%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""pct_share"": ""0.0823"", ""year"": ""2021""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2021,"{""country_code"": ""KR"", ""education_label"": ""Diploma"", ""year"": ""2021""}",0.0002,0.02%,percent,21,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Diploma"", ""pct_share"": ""0.0002"", ""year"": ""2021""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2021,"{""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""year"": ""2021""}",0.3518,35.18%,percent,8,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""pct_share"": ""0.3518"", ""year"": ""2021""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2021,"{""country_code"": ""KR"", ""education_label"": ""High School"", ""year"": ""2021""}",0.0008,0.08%,percent,16,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""High School"", ""pct_share"": ""0.0008"", ""year"": ""2021""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2021,"{""country_code"": ""KR"", ""education_label"": ""Masters"", ""year"": ""2021""}",0.2655,26.55%,percent,17,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Masters"", ""pct_share"": ""0.2655"", ""year"": ""2021""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2021,"{""country_code"": ""KR"", ""education_label"": ""Other"", ""year"": ""2021""}",0.2994,29.94%,percent,7,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Other"", ""pct_share"": ""0.2994"", ""year"": ""2021""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2022,"{""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""year"": ""2022""}",0.0864,8.64%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""pct_share"": ""0.0864"", ""year"": ""2022""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2022,"{""country_code"": ""KR"", ""education_label"": ""Diploma"", ""year"": ""2022""}",0.0003,0.03%,percent,20,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Diploma"", ""pct_share"": ""0.0003"", ""year"": ""2022""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2022,"{""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""year"": ""2022""}",0.3729,37.29%,percent,6,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""pct_share"": ""0.3729"", ""year"": ""2022""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2022,"{""country_code"": ""KR"", ""education_label"": ""High School"", ""year"": ""2022""}",0.0008,0.08%,percent,15,20,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""High School"", ""pct_share"": ""0.0008"", ""year"": ""2022""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2022,"{""country_code"": ""KR"", ""education_label"": ""Masters"", ""year"": ""2022""}",0.285,28.5%,percent,15,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Masters"", ""pct_share"": ""0.285"", ""year"": ""2022""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2022,"{""country_code"": ""KR"", ""education_label"": ""Other"", ""year"": ""2022""}",0.2546,25.46%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Other"", ""pct_share"": ""0.2546"", ""year"": ""2022""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2023,"{""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""year"": ""2023""}",0.0899,8.99%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""pct_share"": ""0.0899"", ""year"": ""2023""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2023,"{""country_code"": ""KR"", ""education_label"": ""Diploma"", ""year"": ""2023""}",0.0003,0.03%,percent,20,20,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Diploma"", ""pct_share"": ""0.0003"", ""year"": ""2023""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2023,"{""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""year"": ""2023""}",0.3913,39.13%,percent,6,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""pct_share"": ""0.3913"", ""year"": ""2023""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2023,"{""country_code"": ""KR"", ""education_label"": ""High School"", ""year"": ""2023""}",0.001,0.1%,percent,12,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""High School"", ""pct_share"": ""0.001"", ""year"": ""2023""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2023,"{""country_code"": ""KR"", ""education_label"": ""Masters"", ""year"": ""2023""}",0.3016,30.16%,percent,16,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Masters"", ""pct_share"": ""0.3016"", ""year"": ""2023""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2023,"{""country_code"": ""KR"", ""education_label"": ""Other"", ""year"": ""2023""}",0.2159,21.59%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Other"", ""pct_share"": ""0.2159"", ""year"": ""2023""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2024,"{""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""year"": ""2024""}",0.093,9.3%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""pct_share"": ""0.093"", ""year"": ""2024""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2024,"{""country_code"": ""KR"", ""education_label"": ""Diploma"", ""year"": ""2024""}",0.0002,0.02%,percent,20,20,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Diploma"", ""pct_share"": ""0.0002"", ""year"": ""2024""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2024,"{""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""year"": ""2024""}",0.4101,41.01%,percent,4,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""pct_share"": ""0.4101"", ""year"": ""2024""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2024,"{""country_code"": ""KR"", ""education_label"": ""High School"", ""year"": ""2024""}",0.0009,0.09%,percent,13,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""High School"", ""pct_share"": ""0.0009"", ""year"": ""2024""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2024,"{""country_code"": ""KR"", ""education_label"": ""Masters"", ""year"": ""2024""}",0.3111,31.11%,percent,16,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Masters"", ""pct_share"": ""0.3111"", ""year"": ""2024""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2024,"{""country_code"": ""KR"", ""education_label"": ""Other"", ""year"": ""2024""}",0.1847,18.47%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Other"", ""pct_share"": ""0.1847"", ""year"": ""2024""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2025,"{""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""year"": ""2025""}",0.096,9.6%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Bachelor"", ""pct_share"": ""0.096"", ""year"": ""2025""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2025,"{""country_code"": ""KR"", ""education_label"": ""Diploma"", ""year"": ""2025""}",0.0002,0.02%,percent,20,20,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Diploma"", ""pct_share"": ""0.0002"", ""year"": ""2025""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2025,"{""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""year"": ""2025""}",0.425,42.5%,percent,4,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Doctorate"", ""pct_share"": ""0.425"", ""year"": ""2025""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2025,"{""country_code"": ""KR"", ""education_label"": ""High School"", ""year"": ""2025""}",0.0011,0.11%,percent,9,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""High School"", ""pct_share"": ""0.0011"", ""year"": ""2025""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2025,"{""country_code"": ""KR"", ""education_label"": ""Masters"", ""year"": ""2025""}",0.3176,31.76%,percent,16,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Masters"", ""pct_share"": ""0.3176"", ""year"": ""2025""}"
Talent and education,"Percentage of top AI authors and inventors by education level and country, 2010–25",pct_share,South Korea,2025,"{""country_code"": ""KR"", ""education_label"": ""Other"", ""year"": ""2025""}",0.16,16%,percent,11,21,1. Research and Development,fig_1.8.3,1. Research and Development\Data\fig_1.8.3.csv,1. Research and Development\Charts\fig_1.8.3.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""Other"", ""pct_share"": ""0.16"", ""year"": ""2025""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Female,South Korea,2010,"{""country_code"": ""KR"", ""year"": ""2010""}",0.1628,16.28%,percent,19,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1628"", ""Male"": ""0.8372"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2010""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Male,South Korea,2010,"{""country_code"": ""KR"", ""year"": ""2010""}",0.8372,83.72%,percent,3,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1628"", ""Male"": ""0.8372"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2010""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Female,South Korea,2011,"{""country_code"": ""KR"", ""year"": ""2011""}",0.1768,17.68%,percent,17,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1768"", ""Male"": ""0.8232"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2011""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Male,South Korea,2011,"{""country_code"": ""KR"", ""year"": ""2011""}",0.8232,82.32%,percent,5,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1768"", ""Male"": ""0.8232"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2011""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Female,South Korea,2012,"{""country_code"": ""KR"", ""year"": ""2012""}",0.1778,17.78%,percent,19,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1778"", ""Male"": ""0.8222"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2012""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Male,South Korea,2012,"{""country_code"": ""KR"", ""year"": ""2012""}",0.8222,82.22%,percent,3,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1778"", ""Male"": ""0.8222"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2012""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Female,South Korea,2013,"{""country_code"": ""KR"", ""year"": ""2013""}",0.1827,18.27%,percent,19,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1827"", ""Male"": ""0.8173"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2013""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Male,South Korea,2013,"{""country_code"": ""KR"", ""year"": ""2013""}",0.8173,81.73%,percent,3,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1827"", ""Male"": ""0.8173"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2013""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Female,South Korea,2014,"{""country_code"": ""KR"", ""year"": ""2014""}",0.1807,18.07%,percent,20,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1807"", ""Male"": ""0.8193"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2014""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Male,South Korea,2014,"{""country_code"": ""KR"", ""year"": ""2014""}",0.8193,81.93%,percent,2,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1807"", ""Male"": ""0.8193"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2014""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Female,South Korea,2015,"{""country_code"": ""KR"", ""year"": ""2015""}",0.1785,17.85%,percent,20,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1785"", ""Male"": ""0.8215"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2015""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Male,South Korea,2015,"{""country_code"": ""KR"", ""year"": ""2015""}",0.8215,82.15%,percent,2,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1785"", ""Male"": ""0.8215"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2015""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Female,South Korea,2016,"{""country_code"": ""KR"", ""year"": ""2016""}",0.1829,18.29%,percent,20,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1829"", ""Male"": ""0.8171"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2016""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Male,South Korea,2016,"{""country_code"": ""KR"", ""year"": ""2016""}",0.8171,81.71%,percent,2,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1829"", ""Male"": ""0.8171"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2016""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Female,South Korea,2017,"{""country_code"": ""KR"", ""year"": ""2017""}",0.1797,17.97%,percent,20,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1797"", ""Male"": ""0.8203"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2017""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Male,South Korea,2017,"{""country_code"": ""KR"", ""year"": ""2017""}",0.8203,82.03%,percent,2,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1797"", ""Male"": ""0.8203"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2017""}"
Talent and education,"Top AI authors and inventors (% of total) by gender, 2010–25",Female,South Korea,2018,"{""country_code"": ""KR"", ""year"": ""2018""}",0.1852,18.52%,percent,20,21,1. Research and Development,fig_1.8.4,1. Research and Development\Data\fig_1.8.4.csv,1. Research and Development\Charts\fig_1.8.4.pdf,"Korea-specific AI talent, education, graduate, or skills indicator.","{""Female"": ""0.1852"", ""Male"": ""0.8148"", ""country"": ""South Korea"", ""country_code"": ""KR"", ""year"": ""2018""}"
