dashboard_category,indicator,metric,geography,period,dimension_values,value_raw,value_readable,value_unit,rank_descending_within_source,source_country_count,source_chapter,source_figure,source_csv,source_chart_pdf,relevance_note,original_fields_json
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,1/1/22,"{""date"": ""1/1/22""}",-0.05391,-0.0539,index,24,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""1/1/22"", ""relative_ai_hiring_index"": ""-0.05391""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,1/1/23,"{""date"": ""1/1/23""}",-0.00566,-0.0057,index,7,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""1/1/23"", ""relative_ai_hiring_index"": ""-0.00566""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,1/1/24,"{""date"": ""1/1/24""}",0.0225,0.0225,index,20,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""1/1/24"", ""relative_ai_hiring_index"": ""0.0225""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,1/1/25,"{""date"": ""1/1/25""}",0.04477,0.0448,index,33,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""1/1/25"", ""relative_ai_hiring_index"": ""0.04477""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,10/1/18,"{""date"": ""10/1/18""}",-0.04188,-0.0419,index,41,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""10/1/18"", ""relative_ai_hiring_index"": ""-0.04188""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,10/1/19,"{""date"": ""10/1/19""}",0.09071,0.0907,index,13,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""10/1/19"", ""relative_ai_hiring_index"": ""0.09071""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,10/1/20,"{""date"": ""10/1/20""}",0.11053,0.1105,index,9,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""10/1/20"", ""relative_ai_hiring_index"": ""0.11053""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,10/1/21,"{""date"": ""10/1/21""}",-0.01147,-0.0115,index,27,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""10/1/21"", ""relative_ai_hiring_index"": ""-0.01147""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,10/1/22,"{""date"": ""10/1/22""}",-0.06293,-0.0629,index,27,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""10/1/22"", ""relative_ai_hiring_index"": ""-0.06293""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,10/1/23,"{""date"": ""10/1/23""}",0.05139,0.0514,index,5,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""10/1/23"", ""relative_ai_hiring_index"": ""0.05139""}"
