observation_id,indicator_id,indicator_name,category,subcategory,country_iso3,country_name,comparison_group,period_type,year,period_start,period_end,period_label,value_raw,value_numeric,unit,unit_standardized,value_standardized,standardization_note,indicator_type,source_id,source_name,source_url,source_file_path,source_publication_date,retrieved_at,confidence_tier,uncertainty_note,is_canonical,canonical_selection_reason,source_priority,dedupe_key,normalization_method,notes
obs_9ce8b292946d3a,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,USA,United States,KOR/USA/CHN,annual,2022,2022-01-01,2022-12-31,2022,109436.0,109436.0,count,count,109436.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2022-01-01,to_publication_date:2022-12-31,authorships.institutions.country_code:US,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:14+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|USA|2022-01-01|2022-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_c77e30ab6abdd9,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,USA,United States,KOR/USA/CHN,annual,2023,2023-01-01,2023-12-31,2023,119226.0,119226.0,count,count,119226.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2023-01-01,to_publication_date:2023-12-31,authorships.institutions.country_code:US,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:14+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|USA|2023-01-01|2023-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_f8efce0414d7e0,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,USA,United States,KOR/USA/CHN,annual,2024,2024-01-01,2024-12-31,2024,106269.0,106269.0,count,count,106269.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2024-01-01,to_publication_date:2024-12-31,authorships.institutions.country_code:US,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:15+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|USA|2024-01-01|2024-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_304d2266cfced1,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,USA,United States,KOR/USA/CHN,annual,2025,2025-01-01,2025-12-31,2025,124986.0,124986.0,count,count,124986.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2025-01-01,to_publication_date:2025-12-31,authorships.institutions.country_code:US,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:15+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|USA|2025-01-01|2025-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_12bd6bbc264d05,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,USA,United States,KOR/USA/CHN,annual,2026,2026-01-01,2026-12-31,2026,56631.0,56631.0,count,count,56631.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2026-01-01,to_publication_date:2026-12-31,authorships.institutions.country_code:US,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:15+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|USA|2026-01-01|2026-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_77e19ac1d8b7ec,announced_gpu_deployments_count,Announced NVIDIA GPU deployments by Korean actors,Compute and Data Centers,compute,KOR,South Korea,KOR/USA/CHN,annual,2025,2025-01-01,2025-12-31,2025,260000.0,260000.0,GPU count,count,260000.0,Numeric value parsed; no unit conversion applied.,company_claim,nvidia_korea_ai_infrastructure,"NVIDIA, South Korea Government and Industrial Giants Build AI Infrastructure",https://investor.nvidia.com/news/press-release-details/2025/NVIDIA-South-Korea-Government-and-Industrial-Giants-Build-AI-Infrastructure-and-Ecosystem-to-Fuel-Korea-Innovation-Industries-and-Jobs/default.aspx,,,2026-05-03T04:50:10+00:00,medium,"Announced deployment, not audited installed capacity.",True,Only observation for indicator/country/period/unit.,7,announced_gpu_deployments_count|KOR|2025-01-01|2025-12-31|count,mapped_to_master_schema,Company claim; wording says over this count.
obs_f92b0256c43af1,defense_unmanned_system_procurement_budget,"Public budget/procurement for UAVs, robots, unmanned systems","Talent, Public Sector, and Defense",defense,KOR,South Korea,KOR/USA/CHN,annual,2025,2025-01-01,2025-12-31,2025,50100000000.0,50100000000.0,KRW/USD,KRW/USD,50100000000.0,Numeric value parsed; no unit conversion applied.,observed_metric,tradegov_unmanned_defense,South Korea Unmanned Defense Systems,https://www.trade.gov/market-intelligence/south-korea-unmanned-defense-systems,,,2026-05-03T04:50:11+00:00,medium,Partial public coverage.,True,Only observation for indicator/country/period/unit.,9,defense_unmanned_system_procurement_budget|KOR|2025-01-01|2025-12-31|KRW/USD,mapped_to_master_schema,"Aggregate of clearly stated anti-material strike UAV, reconnaissance UAV, and ground reconnaissance robot budgets."
obs_a19f8dd958e237,frontier_ai_models_count,Number of frontier AI models by country/year,"Models, Research, and Funding",models,CHN,China,KOR/USA/CHN,annual,2014,2014-01-01,2014-12-31,2014,1.0,1.0,count,count,1.0,Numeric value parsed; no unit conversion applied.,observed_metric,epoch_ai_models,Data on AI Models,https://epoch.ai/data/frontier_ai_models.csv,,,2026-05-03T04:50:11+00:00,medium_high,Source classification required.,True,Only observation for indicator/country/period/unit.,5,frontier_ai_models_count|CHN|2014-01-01|2014-12-31|count,mapped_to_master_schema,Count from Epoch CSV using country column 'Country (of organization)' and date column 'Publication date'.
obs_26ba859cb5e468,frontier_ai_models_count,Number of frontier AI models by country/year,"Models, Research, and Funding",models,CHN,China,KOR/USA/CHN,annual,2015,2015-01-01,2015-12-31,2015,1.0,1.0,count,count,1.0,Numeric value parsed; no unit conversion applied.,observed_metric,epoch_ai_models,Data on AI Models,https://epoch.ai/data/frontier_ai_models.csv,,,2026-05-03T04:50:11+00:00,medium_high,Source classification required.,True,Only observation for indicator/country/period/unit.,5,frontier_ai_models_count|CHN|2015-01-01|2015-12-31|count,mapped_to_master_schema,Count from Epoch CSV using country column 'Country (of organization)' and date column 'Publication date'.
obs_4402005c38b31f,frontier_ai_models_count,Number of frontier AI models by country/year,"Models, Research, and Funding",models,CHN,China,KOR/USA/CHN,annual,2021,2021-01-01,2021-12-31,2021,3.0,3.0,count,count,3.0,Numeric value parsed; no unit conversion applied.,observed_metric,epoch_ai_models,Data on AI Models,https://epoch.ai/data/frontier_ai_models.csv,,,2026-05-03T04:50:11+00:00,medium_high,Source classification required.,True,Only observation for indicator/country/period/unit.,5,frontier_ai_models_count|CHN|2021-01-01|2021-12-31|count,mapped_to_master_schema,Count from Epoch CSV using country column 'Country (of organization)' and date column 'Publication date'.
obs_304269a1a6bf22,frontier_ai_models_count,Number of frontier AI models by country/year,"Models, Research, and Funding",models,CHN,China,KOR/USA/CHN,annual,2024,2024-01-01,2024-12-31,2024,2.0,2.0,count,count,2.0,Numeric value parsed; no unit conversion applied.,observed_metric,epoch_ai_models,Data on AI Models,https://epoch.ai/data/frontier_ai_models.csv,,,2026-05-03T04:50:11+00:00,medium_high,Source classification required.,True,Only observation for indicator/country/period/unit.,5,frontier_ai_models_count|CHN|2024-01-01|2024-12-31|count,mapped_to_master_schema,Count from Epoch CSV using country column 'Country (of organization)' and date column 'Publication date'.
obs_95b33b84a10721,frontier_ai_models_count,Number of frontier AI models by country/year,"Models, Research, and Funding",models,KOR,South Korea,KOR/USA/CHN,annual,2021,2021-01-01,2021-12-31,2021,2.0,2.0,count,count,2.0,Numeric value parsed; no unit conversion applied.,observed_metric,epoch_ai_models,Data on AI Models,https://epoch.ai/data/frontier_ai_models.csv,,,2026-05-03T04:50:11+00:00,medium_high,Source classification required.,True,Only observation for indicator/country/period/unit.,5,frontier_ai_models_count|KOR|2021-01-01|2021-12-31|count,mapped_to_master_schema,Count from Epoch CSV using country column 'Country (of organization)' and date column 'Publication date'.
obs_e05fa00f7f1f60,frontier_ai_models_count,Number of frontier AI models by country/year,"Models, Research, and Funding",models,USA,United States,KOR/USA/CHN,annual,1950,1950-01-01,1950-12-31,1950,1.0,1.0,count,count,1.0,Numeric value parsed; no unit conversion applied.,observed_metric,epoch_ai_models,Data on AI Models,https://epoch.ai/data/frontier_ai_models.csv,,,2026-05-03T04:50:11+00:00,medium_high,Source classification required.,True,Only observation for indicator/country/period/unit.,5,frontier_ai_models_count|USA|1950-01-01|1950-12-31|count,mapped_to_master_schema,Count from Epoch CSV using country column 'Country (of organization)' and date column 'Publication date'.
